DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRC,BG,2018,307712,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRC,BG,2019,303767,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRC,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRC,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRS,BG,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRS,BG,2019,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRS,MT,2017,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C109_PRS,MT,2018,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C110,BG,2018,79874,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C110,BG,2019,107260,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C110,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C1102,BG,2018,79874,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C1102,BG,2019,107260,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,EUR,C1102,MT,2014,0,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BE,2015,1014,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BE,2016,1116,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BE,2017,1227,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BE,2018,1314,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BE,2019,1483,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BG,2015,250,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BG,2016,253,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BG,2017,202,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BG,2018,222,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BG,2019,241,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,BG,2021,266,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2015,60,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2016,57,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2017,64,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2018,54,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2019,58,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2020,67,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CY,2021,68,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CZ,2015,558,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CZ,2016,616,
ESTAT:ORG_CPREACT(1.0),02/12/22 23:00:00,A,NR,C10,CZ,2017,655,
