DATAFLOW,LAST UPDATE,freq,animals,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2015,485,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2017,202,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2019,69,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RO,2020,72,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2013,60,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2014,103,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2015,106,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2016,8,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2017,177,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2018,114,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2019,88,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,RS,2020,16,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SI,2012,3289,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SI,2013,3593,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SI,2014,3846,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SI,2015,3878,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SI,2016,4093,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2012,611,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2013,659,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2014,569,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2015,643,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2016,590,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2017,869,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2018,541,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2019,440,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,SK,2020,412,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,TR,2014,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,TR,2015,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,TR,2016,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,TR,2017,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,TR,2018,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,TR,2019,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2012,348,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2013,507,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2014,103,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2015,172,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2016,171,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2017,251,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2018,974,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,HD,UK,2019,1054,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A1100,NR,LV,2020,900,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2012,376572,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2013,376973,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2014,376647,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2015,266236,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2016,404648,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2017,422008,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2018,421324,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2019,420693,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2020,417658,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,AT,2021,420118,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2012,72487,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2013,76214,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2014,76620,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2015,80405,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2016,88787,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2017,108016,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2018,106049,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2019,107690,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BE,2020,111951,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2012,1173,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2013,1311,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2014,1344,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2015,4209,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2016,9718,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2017,10400,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2018,9314,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2019,9402,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2020,10343,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,BG,2021,10408,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2012,156668,r
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2013,162059,r
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2014,167024,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2015,170420,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2016,175520,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2017,187745,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2018,200450,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2019,205389,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2020,211041,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CH,2021,213595,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2012,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2013,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2014,0,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2015,101,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2016,350,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2017,506,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2018,469,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2019,731,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2020,601,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CY,2021,837,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CZ,2012,196911,
ESTAT:ORG_LSTSPEC(1.0),02/12/22 23:00:00,A,A2000,HD,CZ,2013,213303,
